text,label
I want to exhale the restlessness in my chest with my breath,1
Why every morning I want to sleep I'm restless ,1
"Anxious alone, sad alone, not having peace",1
"What's wrong I'm worried, oh I hope it's okay",1
"I really like this, I'm nervous about things I'm not sure about, I don't know why but I feel really nervous. WEIRD.",1
"I'm so nervous, why?",1
but my heart is still restless even though my mouth is talking,1
Since then I was restless to the point of choking. What's wrong?,1
"Starting to worry again if you have a lot of schedules, even though yesterday it was neatly arranged. How come biso missed ouch :')",1
"Adf-my does anyone know why I am here? I've been feeling restless since yesterday, like worrying/worrying too much, suddenly feeling sad, just scared. But I also don't know why",1
"Gegana, restless, speechless, I don't know what the cause is:""",1
I'm lazy.. I'm so nervous,1
Happy but also worried.,1
It's anxious to worry,1
"Honestly, I'm really nervous",1
"Here from now on, my heart is restless",1
"Later when you are tired of the new one, and then you look back and feel guilty for me, don't be a bit nervous. Trust me, I have forgiven you. Even though I will never accept you again.",1
"I need adit not for stalking or for strange things because I myself have started to learn not to stalk just because I'm afraid that mental disorders will get worse even though I still feel anxious and afraid if I don't stalk, I can hold it so that Adit doesn't feel disturbed",1
Keep restless astagfirullah,1
"I'm excited but I don't know why, there's no reason, I'm nervous, I have a stomach ache but I'm scared, I know I'm tired, this is the third time today, hah â€” hah :)",1
"Always worried about the future, even though today has not changed.",1
"every time you worry, why is the disease running to your stomach?",1
"If you're nervous looking for the best position before going to sleep, it feels like someone's watching you ™„",1
Restless and agitated,1
"In the evening, towards the morning. A little worried, a lot of longing",1
"Some days, I don't think I'm doing well, so I feel like I'm really crying, scared, anxious, just sad. until I think of this when I cry, does my fast break or not?",1
"It's been a few days when I sleep by default I'm afraid, restless, nervous, feel alone, sometimes my breath is really heavy.....why is that... like I'm afraid of being restless, oh my God",1
"tired of overtingking, tired of worrying too much, tired of being tired",1
aren't you worried? aren't you worried? don't you worry...,1
"Instead of getting calmer, this heart is getting more restless",1
can i tap the dm or not? I'm very nervous thinking,1
Finally restless again uhh mmhhh ahh,1
"No need to run, just walk one by one the stones that are being stepped on slowly and absorb it without feeling anxious and full of emotions",1
"Lately I'm feeling scared & very anxious thinking about the day for tomorrow's work inspector . Honestly, I'm really scared because I'm not very close to friends, I'm afraid I can't, I'm afraid to disappoint, and if I suddenly remember I cry",1
"This is why I can't sleep, I'm so restless...",1
I want to exhale the restlessness in my chest with my breath,1
Restless restlessness accompanies,1
hlt! why do i like to be nervous tbtb keep worrying so much that i sweat,1
"Not many people are sure of their prayers, not many people are faithful to wait with what is prayed for. Prayer is unique, there is hope and feeling, there is worry and anxiety, there is tears and happiness. But the end of the prayer will always be the best for humans.",1
"I wonder why my heart beats like that sometimes for weeks, then it's back to normal for a few weeks, does anyone know why this isn't it? Or maybe I'm often anxious and stressed, okay?",1
"I'm so nervous I swear, the views are getting slower",1
Just woke up feeling restless and sore ™„,1
I'm so worried 5 days of not coming home wey,1
My life is chaos. There is no solution. Fear of the uncertain. Restless direction.,1
UNDERSTANDING FEEL FEELING«,1
I really can't be told to just listen to it for hours. Immediately anxious innate.,1
I haven't given up… just a little restless.,1
Actually I'm worried. The original looks really scared. I've come to play/bite my nails :(,1
"If I'm honest, I've been nervous since that day even though I said it wasn't....",1
"Lately, I've been feeling restless and restless. Haihh",1
"I'm so nervous, why isn't it?",1
"The default bat is restless, I don't know why",1
you know you're restless,1
"Restless,. Locked in all motion. Whipped in the brain noisy debate about decisions. Make friends with fear and risk",1
"Wow, I'm getting restless, let's sleep",1
"I swear I'm so nervous, why don't you",1
"I was a little worried that the afternoon class would actually be able to reach the target. But God just gave a way, wednesday class was moved even though it was a quiz. At least later in the morning you can make out with data until iftar",1
"–¤ When you're anxious or nervous, do you feel like your heart feels weird, doesn't it? Is it just me?",1
"Come on, come on, let's go... 10 years could be passed before, it's not even a month yet, I'm already restless",1
"Time is slow for those who wait, too long for those who are restless, and too short for those who are happy",1
"Restless, restless, become one. Can't agree. Can't even sleep",1
"May May be accompanied by good news. The injured, get well soon. Sorrow turns to love. Quieter anxiety. And prayers that are more patient...#senjamu",1
"Since then, the chicken cake has been restless and wants to lay eggs.",1
Do not compare yourself to others. Envy only makes restless soul. Be yourself.,1
"The 5 dream ones were moved to a new unit, so why isn't the Anjrit so worried?",1
"finished for the heart's intention to watch the series, I even thought about it. I'm worried",1
"""No regrets or grudges/angry at things that have passed, and don't put too much anxiety over the record period #COYS",1
"Usually, if you're restless for a long time, surely after that something will happen or not",1
"Have you ever thought of something and then immediately forgot it then thought you were thinking about this bastard, I don't remember it, so I was restless",1
"Dialogue in the morning.. to yourself, restless and restless accompanying it, hoping someone will understand-",1
I'm the only one who's nervous.,1
I'm starting to worry,1
"In my father's family, everyone is smart, I'm sure the expectations for me are also high it makes me very anxious to think about this huhu",1
"Already complete. Disappointed with a broken heart. Produces a sense of restlessness. I don't know, hopefully all of this ends beautifully",1
"when your bipolar relapse welcome shortness of breath, tremors, anxiety, fear, selfharm etc",1
"How come lately I'm not feeling well, like mellow, not calm, restless",1
"When you think about it and don't finish it, it feels really restless",1
I'm worried.. I'm in a bad mood.. but excited to see law school..,1
"Yes, what will happen later :'), I'm worried that I can control my emotions",1
"I'm really nervous about choosing between boring or chilling, PLEASE",1
"oh my god why have you been a week, you're so nervous, it's really bad aaa",1
"people seem calm, happy like there's no problem because only one smile we throw out but sad, restless and anxious millions of which we keep to ourselves, only we know.",1
"In the past, if you knew there were people who didn't like me, you would immediately be worried, sad, find out why someone didn't like you.",1
"Fearful. Often experiences feelings of extreme worry, sadness, or anxiety.",1
"crazy, why are you nervous? *plays yo-yo*",1
"a lot of work tomorrow a suddenly meeting, stomach acid rises, dizziness, can't sleep, restless. what should i do",1
"Unsettled !! That's when there is a test. But face it and get over it. It's been like that since the school days, the present can't be done like that. It could be",1
"Panic, don't know what to panic about. Restless alone, think too",1
"I can't stop, my nutmeg pops up eyes that I have to look at when I'm anxious",1
"I'm really scared, nervous every day…",1
how do you stay calm so nervous after reading this.,1
"Strange. I don't have work today and I have a bit of free time so I can read shrill novels but... it feels weird. I've been nervous about checking the google calendar just in case if I read it wrong. But it's still weird, how about this, like you should be looking for a job to get rid of this feeling.",1
Is there something that makes me nervous,1
"I don't know why, after every Eid prayer, I suddenly feel restless, it's not clear in the end, I'm not in the mood for friendship or what people usually do on Eid :(",1
"If you are stuck sleeping at 11am until set 12. If you are more than that, you will be anxious, why are you?”",1
"Have you ever been so nervous, scared, and anxious that you want to throw up?",1
Do not compare yourself to others. Envy only makes restless soul. Be yourself.,1
"When I'm done with this, why do I feel so dizzy.... But I swear I don't want to sleep, I'm really nervous when I'm told to sleep.",1
"I don't know whether to be happy or sad. And don't know how long this feeling will last? I'm the one who feels it just great every day coy.. confused about my own feelings. Sllu not calm, restless. But, just give up.. there is God. My son, yes.. Shaina can.",1
"I just want to pass, there are so many obstacles « I'm so tired guyssss I want to rest for a while but I can't seem nervou",1
"It's true that social media is fun, you have to look for health, if it only makes you nervous, what do you do",1
"Starting to get restless...Others have started praying Isha, I'm not solemn, the cat is getting closer...Finally canceled the prayer to get rid of the cat",1
What do you do when you're anxious when you're anxious? i used to write something every time i have a lot of thoughts or worry about things that are not sure... but now... idk what to do </3,1
I'm so nervous ° [],1
I like to worry tbtb,1
"When you're working on something, and suddenly feel restless and anxious even though nothing's going on...haha what's the matter, my self",1
Don't worry about it,1
very nervous :'),1
"I like not knowing myself. Having a mentality that is very easy to get down, often feels worried or anxious, has difficulty controlling thoughts, is very easily hurt. Sometimes what makes us suffer is to think too much about what other people say.",1
"I'm confused when I've finished something, what's next? I feel like everything is already there, but what's missing? The default is restless",1
"Honestly, from the past until now, since the last 4 years, my biggest enemy in writing is anxiety. There is no such detailed reason, it's just that I suddenly get nervous and it's not clear, so sometimes if it's really bad it can stop writing for months.",1
I'm even worried about myself :((,1
"people seem calm, happy like there's no problem because only one smile we throw out but sad, restless and anxious millions of which we keep to ourselves, only we know.",1
"She worries a lot, so she cries a lot.",1
"troubled, restless heart, restless soul.",1
why did I feel so nervous earlier?,1
"I'm really restless when I just wake up, I feel like I immediately get bad thoughts and it's really every day",1
oh my god so nervous,1
"Feeling anxious like this, every time you want to work, you have to feel anxious and not calm",1
"Even though I am calm like a fish, I am restless like a wave in the ocean. - RUMI..#MCO3",1
"guys, how do you feel, every day you feel like you're really worried about your thesis, the trial schedule for August is great and until now it's still floating, you want to make revisions like your brain is empty, but every day you're so worried that you're shaking",1
Restless and restless.. Mboh... lah..,1
Other people don't know I feel anxious every day.,1
umami mami mami this heart is restless,1
"I wake up this feeling of restlessness, the title is... I sleep late, I still wake up in the morning",1
"a little anxious, a lot afraid",1
I'm afraid the anxiety is too much because I'm already in the phase of being really scared,1
"What exactly is making me nervous, please, tell me!",1
"a few days ago restless, today menses. I've just read that restlessness is a symptom of PMS. so who gave this anxiety, thesis or pms?",1
"Oh, I'm so nervous, bro :(",1
"Eid is getting closer. Oh God, I feel so lazy to meet a big family, I'm too lazy to ask a lot of questions, it's not okay, I'm not comfortable, I'm really worried, fuck the life",1
"Suddenly restless, not even 5 minutes immediately severe nausea. It's true that stomach acid is the fastest way to get sick if you have thoughts ' »",1
What is the sign of restlessness -_-,1
"They say I'm strong, I'm stoned, I always have panic attacks when I'm restless at night, it's not clear who knows, I don't leave my room all day because I'm so tired, I'm so tired, some people care, they say I'm lazy, even though they don't know why I'm like that. It seems like my mental health is not important",1
"so please be worried, what version will I get ™‚",1
restless and agitated,1
"For the past few days, he's been a bit restless, he's not calm like that.",1
"I swear I'm nervous, why are you?",1
"I've been so restless all day, why is it even though there's nothing... calm after praying, after that, I'm restless again",1
"It's so toxic, every night I'm always afraid of forgetting to do something I'm so nervous gt anjr",1
"Today's energy is very heavy. You have to go to the doctor, have an ultrasound, then an X-ray. The results will be known tomorrow. Ugh, so worried.",1
"Time is slow for those who wait, too long for those who are restless, and too short for those who are happy. ",1
Feeling restless is the worst thing .ever.,1
"Every night before this night, I always worry about what drama will happen tonight, my baby boy If there's no husband, this is really crazy",1
"Why be afraid of pain when all of our feelings can be created!.. There will always be calm, on the sidelines of anxiety waiting to subside...",1
I'm so worried why yh.,1
"Restless restlessness accompanied, hoping someone would understand, wishing he wasn't here.",1
"I'm so nervous, I'm hungry too Bismillah yaa",1
Say! Are you worried about your health? Any tips so you don't worry too much?,1
"I don't feel good, I'm not calm, I'm just restless :( let's do a lot of dhikr",1
I'm a bit scared and nervous...,1
starting to get restless with life's journey like this,1
restless eh,1
Why am I so nervous?!!!,1
how do you get rid of anxiety,1
"I'm so restless, why isn't it",1
Why are you so worried since yesterday...,1
"O Allah, I just ask for a safe and peaceful life without being haunted by anxiety, O Allah",1
"For a long time, my heart feels like it's going to burst when it's restless",1
"Now, he's always anxious every day, it feels like he's waiting for a thesis trial, you know. I understand it feels nervous, worried, afraid. what's the difference now that you don't know what you're worried about",1
The habit of being anxious is clear,1
#NAME?,1
sleep but restless. understand?,1
"I'm nervous but I don't know why, it's really not that good, I've been nervous. Hope all is well",1
"Anjir is so restless today, what's wrong?",1
"The restlessness that hit, really disturbs the atmosphere",1
"Shit! I'm addicted to playing cellphones so that if I don't have a cellphone, I feel restless. How do you get rid of it",1
"um! Pls, how do I feel afraid to go out of the house because I'm afraid to meet people, I don't know why, even though I wasn't like this before, I used to be nervous, then I'm so anxious I'm so sweaty",1
Why are you so nervous :(((,1
"It seems like I'm really at the anxiety stage every time I open WhatsApp. It feels really anxious, scared, nervous, feeling guilty, feeling useless. I want to disappear, but discussing assignments and exhibitions there, all of them...",1
"That's if you're worried/worried, the parno is too much. ^^",1
very nervous,1
Restless restlessness accompanies,1
hello? buddy it's been a long time since jbjb mutual. My account still looks like an RT bot huh .. tbh lately I've been feeling tired. Anxiety always comes suddenly for no reason so I think I hate myself even more. even yesterday i got to the point where the thought of hurting myself came to my brain,1
-11fess starts again every night is restless :)))),1
"One by one the family (women) who were almost the same age as Mama died. and the average below mama. starting to worry.....hope you are always healthy, ma ™",1
"It used to be beautiful. But now it's real. Feels restless, restless, etc.;(",1
"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""",1
"Can't sleep because I'm worried it's not really good, I can't take it to watch too",1
Seems like it's a lot of sin when you're so restless,1
"Shit, worry again, throw up again!",1
how about a prolonged period of anxiety..,1
"My mind is really divided, until I fell asleep like I was feeling anxious, but I don't know what to worry about.",1
"There is excessive anxiety today, .And, there is another.",1
"I really do this istikhara prayer. The excitement is not crazy, I'm really worried",1
"Fwb, how do you calm a restless heart? It's not a boy problem. I'm f20",1
The combination of anxiety and anxiety gives me a terrible headache..,1
Very worried,1
"worry too much at this hour, God is so annoying",1
Tired of being restless every day :'(,1
Too nervous,1
"every time you gassy, ​​atine must be restless,, ono sing koyo ngono ga??",1
The default is so restless haha,1
Confused since yesterday feeling restless but don't know what to worry about,1
Q: Does anyone know of a sedative so you don't get excited? I wake up restless every time I don't know why or do I have any other suggestions so that it doesn't continue like this. thank you,1
I'm dancing on the edge of restlessness,1
"Yoo, why are you nervous, yo",1
"Every time I hear that my friend wants to go to trial, I like to be nervous, it's not clear, I need to hurry to clean it too, but if I'm in a hurry because I see people are afraid, it's not really right :( wkwkwk",1
"It's anjir, the past few days it's been really messy, so I'm nervous why the assignments don't show up . Usually Monday/Tuesday there are assignments and the deadline is Wednesday/Thursday -_-",1
"I want to ask, but I'm afraid. If you don't ask, you'll get even more restless",1
Waiting anxiously,1
but my heart is still restless even though my mouth is talking,1
Don't worry even more about this dog,1
"Haven't prayed yet so restless, want to pray still lazy. Astaghfirullah",1
why are you so nervous have mixed feelings,1
Why are you so nervous ²,1
even though I don't miss anyone but I'm still restless,1
"This is how it feels.. not calm, restless don't know why, I wake up and wake up, my heart feels like it's piling up thinking about something..",1
Feeling restless,1
"Panic, restlessness right now “ˆ",1
"I just want to sleep, oh God, I'm not even sure it's clear",1
very restless,1
"don't want to sleep, don't be restless far",1
"Want to sleep, all restless",1
"I get traumatized. when he was a child, he was said to be ugly because he had a mole. When I grew up around high school I was also said to be ugly with a guy. Do you have a mole, is it a defect? is it a mistake i have a mole? I don't know why lately I'm starting to worry about this problem again",1
I shouldn't worry about fate. Because even a leaf God has arranged to fall when and where,1
"[Cm] Please calm me down, friends â. Say ""it's okay"" if my research is taking a long time. ""It's okay"" if you haven't written a thesis yet. ""It's okay"" if graduation is a bit behind the plan. Is that okay??? â. I'm starting to get restless myself :(( my research is already 5 months because (+2 months internship)ðŸ˜",1
"When “relying on yourself” is the best answer to forget anger, anxiety, and disappointment",1
2 weeks until the exam and already starting to get restless and have a lot of thoughts,1
"Why is it that if there are a lot of people talking in front of the house, there are too many motorbikes that pass by, the feeling is immediately restless, afraid, gt",1
"Usually every night when you're alone you're restless, it's calm. It feels so different.",1
"you can worry, you can worry. no one forbids.",1
duhh why am I worried tbtb,1
"I'm tired, aren't I, lately I've been nervous about something, I want to hurry up and wait for the time to come and then it's over huh '‹",1
I'm worried about speed,1
"Happiness and sadness move in one door, no need to worry about this life process.",1
"Don't worry, your story is written by the best screenwriter",1
Vala lage na ar,1
Mama eto pera kan life e,1
Fuck the life,1
Go to hell,1
Fucking hate you,1
Hell yeah varsity life,1
Why so much pressure?,1
I can't take any more pressure pls!,1
I want to exhale the restlessness in my chest with my breath,1
Porasonar mayre bap,1
Baler question kore rakhce,1
Vai exam eto kharap hoice,1
Chintay matha betha kortece,1
Get out ,1
I am fucking tired of everything,1
"It's getting closer to Eid Al-Fitr, there is a feeling of restlessness and restlessness even though I can cover it with my smile.. It's been almost 8 years of Hari Raya without meaning and getting used to it... Just be grateful to Allah that I can still fast for Ramadan and Eid... That's it",1
I don't like feeling like this!! Kind of restless,1
Restless tonight,1
I've been restless since yesterday :(,1
3 days anxious tremor,1
Still hopeful,1
"I want to ask. I'm an extrovert, but the more I come here, the more scared I am when I meet a lot of people, I feel anxious right away. Does anyone know why that is?",1
"Why is it that every time I do my job I'm always restless, I'm so dizzy, it's so hard I can't focus, please",1
Why am I nervous,1
"Oh God, why am I in this house by nature angry, angry, anxious, anxious, restless, when my mouth is open, my heart is full of malice",1
"I'm so worried, even though tomorrow is just a presentation...",1
"Lately, I've been feeling anxious, restless, sad, but I'm still feeling sad because na, kabeh comes naturally. Strange.",1
"I'm so worried, my cellphone is about to fall again",1
"Moving forward is hope, Quitting is despair. Restless hope is better than despair..#morethanfriends",1
So when the time comes I won't be surprised anymore and won't be overly disappointed. I lowered my expectations amidst the many possibilities. That I undo because I know and self-aware. Now I shouldn't be nervous anymore right? But why am I still not ready?,1
ORIGINAL ORIGINAL AT THE END OF THIS END IS ANGRY EVERY HOURS 22.00 FEAR THE MIXTAPE COMES OUT,1
It's too lazy if every day the default is constantly restless for no reason,1
"Can I skip this or not? To be honest, I don't really have any feelings of anxiety, I just thought about it, do you think I can survive in this place or not??",1
"Why do thoughts in the future always make you anxious, even though it is not necessarily the case. Whyyyyy? I'm so dizzy. Pdhl has encouraged himself to calm down, be patient, take it slow. Is there any medicine?",1
"Compromise to your heart's content. Restless , upset , happy , sad . It's like riding a gondola but don't know when to get off the ride.",1
"I'm easily restless, even fake.",1
"I'm really nervous, why is it, I don't have much worship..",1
"Overthinking, restless, dizzy, tired, wants to cry, sucks in starting to enter the room",1
Why is this guy so restless,1
"I'm lazy to work, if I often feel anxious",1
"It's been about 5 years (mid 2016) for the last time I felt this feeling of anxiety and lack of motivation. Now it appears again. Oh my God, what should I do..",1
Slowly I want to talk about feeling uneasy with the situation,1
"FEAR, GIVE UP, WORRY, YES HOW YES???",1
"Help ma mental... It's really like this... .I just told myself this afternoon that you're great, great because of your anxiety and overthinking you haven't appeared in a few months, but why is it now showing up again ️",1
how come there are so many senders asking me to make you cry and then explain the tags like literally brutal.. I'm a little worried..,1
Dancing on the edge of restlessness,1
"If you are at home alone, you like to be anxious, gtu, taxi?",1
"When I re-read the soft file proposal, how come there are so many mistakes. But how do you want the file to be distributed, it's getting more and more anxious.",1
"Ptn! What do you think about fasting on social media after utbk? I'm really worried that I don't want to open social media, but I can't use Twitter because I need information to register",1
Why is this feeling uneasy? I consider my manager like my own mother even though the age difference is only a year older. ..Or am I interested in the motherly soul huh,1
"It's this kind of anxiety that I don't likeðŸ˜ .Suddenly crying incoherently, chest pain, shaking etc... .But thank God I never had any intention of hurting myself",1
so it's like this.. the authors never wanted to post or chat but when rereading it cringe gt.. i'm afraid the readers won't like it... i'm wb + not very confident... i'm restless... hhhhh,1
"Very sad, I feel heartbroken even though I don't know the reason",1
Like to worry about the future,1
"Alone, accompanying you in silence. Throwing all restlessness in your heart. Trying to find peace of mind. Who has been betrayed all this time",1
"Restless, Restless, Restless",1
"It's been a few days that I haven't slept very well, I'm very restlessðŸ¥²",1
Why are you so restless,1
"Just for Eid this year, I'm a little worried about the template questions that people often complain about. Oops, what's the answer?",1
tired and restless,1
"I'm nervous by nature, confused, nervous, when it's people, just relax :)",1
